entry_time,exit_time,entry_price,exit_price,qty,pnl,bars_held,exit_reason,return_pct
2025-01-03 09:15:00+05:30,2025-01-03 15:15:00+05:30,24042.2,23990.15,4,-256.1999999999971,6,momentum_failed,-0.2561999999999971
2025-01-20 12:15:00+05:30,2025-01-20 15:15:00+05:30,23359.7,23337.05,4,-138.60000000000582,3,eod,-0.13860000000000583
2025-01-23 12:15:00+05:30,2025-01-23 15:15:00+05:30,23244.55,23216.3,4,-161.0,3,eod,-0.161
2025-01-24 10:15:00+05:30,2025-01-24 12:15:00+05:30,23279.2,23216.5,4,-298.8000000000029,2,momentum_failed,-0.29880000000000295
2025-01-29 11:15:00+05:30,2025-01-29 15:15:00+05:30,23120.95,23176.2,4,173.0,4,eod,0.173
2025-01-30 09:15:00+05:30,2025-01-30 15:15:00+05:30,23271.4,23297.95,4,58.19999999999709,6,eod,0.05819999999999709
2025-01-31 09:15:00+05:30,2025-01-31 15:15:00+05:30,23340.2,23533.85,4,726.5999999999913,6,eod,0.7265999999999913
2025-02-01 09:15:00+05:30,2025-02-01 15:15:00+05:30,23555.9,23495.3,4,-290.40000000000873,6,momentum_failed,-0.29040000000000876
2025-02-04 10:15:00+05:30,2025-02-04 15:15:00+05:30,23506.5,23707.7,4,756.8000000000029,5,eod,0.7568000000000029
2025-02-05 09:15:00+05:30,2025-02-05 15:15:00+05:30,23746.4,23686.75,4,-286.6000000000058,6,eod,-0.2866000000000058
2025-03-05 12:15:00+05:30,2025-03-05 15:15:00+05:30,22348.8,22346.65,4,-56.59999999999127,3,eod,-0.05659999999999127
2025-03-06 09:15:00+05:30,2025-03-06 15:15:00+05:30,22331.6,22529.2,4,742.4000000000087,6,eod,0.7424000000000087
2025-03-07 09:15:00+05:30,2025-03-07 15:15:00+05:30,22605.7,22536.95,4,-323.0,6,eod,-0.32299999999999995
2025-03-10 09:15:00+05:30,2025-03-10 12:15:00+05:30,22631.75,22601.8,4,-167.8000000000029,3,momentum_failed,-0.16780000000000292
2025-03-13 09:15:00+05:30,2025-03-13 11:15:00+05:30,22545.1,22443.2,4,-455.59999999999127,2,momentum_failed,-0.45559999999999123
2025-03-17 11:15:00+05:30,2025-03-17 12:15:00+05:30,22510.1,22467.6,4,-218.0,1,momentum_failed,-0.218
2025-03-17 14:15:00+05:30,2025-03-17 15:15:00+05:30,22510.5,22515.25,4,-29.0,1,eod,-0.029
2025-03-18 09:15:00+05:30,2025-03-18 15:15:00+05:30,22745.35,22848.75,4,365.6000000000058,6,eod,0.3656000000000058
2025-03-19 09:15:00+05:30,2025-03-19 15:15:00+05:30,22864.1,22911.8,4,142.8000000000029,6,eod,0.1428000000000029
2025-03-20 09:15:00+05:30,2025-03-20 15:15:00+05:30,22987.65,23165.7,4,664.1999999999971,6,eod,0.6641999999999971
2025-03-21 09:15:00+05:30,2025-03-21 15:15:00+05:30,23257.3,23355.65,4,345.40000000000873,6,eod,0.3454000000000087
2025-03-24 09:15:00+05:30,2025-03-24 15:15:00+05:30,23544.05,23674.15,4,472.40000000000873,6,eod,0.47240000000000876
2025-03-25 09:15:00+05:30,2025-03-25 15:15:00+05:30,23770.4,23605.95,4,-705.8000000000029,6,momentum_failed,-0.705800000000003
2025-03-28 10:15:00+05:30,2025-03-28 12:15:00+05:30,23581.3,23499.55,4,-375.0,2,momentum_failed,-0.375
2025-04-11 10:15:00+05:30,2025-04-11 15:15:00+05:30,22834.7,22844.5,4,-8.80000000000291,5,eod,-0.008800000000002911
2025-04-15 09:15:00+05:30,2025-04-15 15:15:00+05:30,23312.1,23344.1,4,80.0,6,eod,0.08
2025-04-16 09:15:00+05:30,2025-04-16 15:15:00+05:30,23355.8,23433.3,4,262.0,6,eod,0.262
2025-04-17 09:15:00+05:30,2025-04-17 15:15:00+05:30,23353.4,23837.75,4,1889.3999999999942,6,eod,1.8893999999999942
2025-04-21 09:15:00+05:30,2025-04-21 15:15:00+05:30,24033.45,24121.2,4,303.0,6,eod,0.303
2025-04-22 09:15:00+05:30,2025-04-22 15:15:00+05:30,24195.7,24134.05,4,-294.6000000000058,6,momentum_failed,-0.29460000000000586
2025-04-23 09:15:00+05:30,2025-04-23 15:15:00+05:30,24190.65,24300.85,4,392.79999999998836,6,eod,0.3927999999999884
2025-04-24 09:15:00+05:30,2025-04-24 15:15:00+05:30,24297.35,24245.05,4,-257.1999999999971,6,eod,-0.2571999999999971
2025-04-28 09:15:00+05:30,2025-04-28 10:15:00+05:30,24275.85,24235.0,4,-211.39999999999418,1,momentum_failed,-0.21139999999999418
2025-04-28 11:15:00+05:30,2025-04-28 15:15:00+05:30,24289.65,24312.9,4,45.0,4,eod,0.045
2025-04-29 09:15:00+05:30,2025-04-29 15:15:00+05:30,24351.55,24325.45,4,-152.39999999999418,6,momentum_failed,-0.15239999999999418
2025-04-30 11:15:00+05:30,2025-04-30 12:15:00+05:30,24344.95,24333.8,4,-92.60000000000582,1,momentum_failed,-0.09260000000000582
2025-04-30 14:15:00+05:30,2025-04-30 15:15:00+05:30,24348.85,24246.25,4,-458.3999999999942,1,momentum_failed,-0.45839999999999415
2025-05-02 09:15:00+05:30,2025-05-02 11:15:00+05:30,24581.95,24315.0,4,-1115.800000000003,2,momentum_failed,-1.1158000000000028
2025-05-02 13:15:00+05:30,2025-05-02 15:15:00+05:30,24373.55,24313.65,4,-287.59999999999127,2,momentum_failed,-0.28759999999999125
2025-05-05 09:15:00+05:30,2025-05-05 12:15:00+05:30,24479.1,24451.05,4,-160.1999999999971,3,momentum_failed,-0.1601999999999971
2025-05-05 13:15:00+05:30,2025-05-05 15:15:00+05:30,24472.9,24459.5,4,-101.60000000000582,2,eod,-0.10160000000000582
2025-05-06 11:15:00+05:30,2025-05-06 12:15:00+05:30,24392.2,24383.25,4,-83.80000000000291,1,momentum_failed,-0.08380000000000291
2025-05-08 11:15:00+05:30,2025-05-08 13:15:00+05:30,24403.4,24316.95,4,-393.8000000000029,2,trend_reversed,-0.3938000000000029
2025-05-12 09:15:00+05:30,2025-05-12 15:15:00+05:30,24682.65,24920.25,4,902.3999999999942,6,eod,0.9023999999999942
2025-05-13 09:15:00+05:30,2025-05-13 12:15:00+05:30,24770.85,24630.8,4,-608.1999999999971,3,momentum_failed,-0.6081999999999971
2025-05-15 10:15:00+05:30,2025-05-15 15:15:00+05:30,24617.25,25035.3,4,1624.199999999997,5,eod,1.6241999999999972
2025-05-16 09:15:00+05:30,2025-05-16 15:15:00+05:30,25005.15,25013.1,4,-16.20000000001164,6,eod,-0.016200000000011643
2025-05-23 10:15:00+05:30,2025-05-23 15:15:00+05:30,24890.1,24845.15,4,-227.79999999998836,5,eod,-0.22779999999998835
2025-05-26 09:15:00+05:30,2025-05-26 15:15:00+05:30,25044.15,24996.35,4,-239.20000000001164,6,eod,-0.23920000000001163
2025-05-27 10:15:00+05:30,2025-05-27 12:15:00+05:30,24877.65,24829.85,4,-239.20000000001164,2,momentum_failed,-0.23920000000001163
2025-06-05 11:15:00+05:30,2025-06-05 15:15:00+05:30,24869.55,24761.1,4,-481.8000000000029,4,eod,-0.4818000000000029
2025-06-06 09:15:00+05:30,2025-06-06 15:15:00+05:30,24750.6,25000.3,4,950.8000000000029,6,eod,0.9508000000000029
2025-06-09 09:15:00+05:30,2025-06-09 15:15:00+05:30,25119.15,25103.1,3,-96.15000000000873,6,eod,-0.09615000000000873
2025-06-10 09:15:00+05:30,2025-06-10 14:15:00+05:30,25156.9,25104.7,3,-204.60000000000218,5,momentum_failed,-0.20460000000000217
2025-06-11 09:15:00+05:30,2025-06-11 15:15:00+05:30,25146.35,25126.8,3,-106.64999999999782,6,momentum_failed,-0.10664999999999783
2025-06-16 13:15:00+05:30,2025-06-16 15:15:00+05:30,24961.5,24940.95,4,-130.1999999999971,2,eod,-0.1301999999999971
2025-06-20 10:15:00+05:30,2025-06-20 15:15:00+05:30,25016.55,25079.75,3,141.60000000000218,5,eod,0.1416000000000022
2025-06-23 09:15:00+05:30,2025-06-23 13:15:00+05:30,24863.1,25015.1,4,560.0,4,momentum_failed,0.5599999999999999
2025-06-24 09:15:00+05:30,2025-06-24 15:15:00+05:30,25232.6,25071.55,3,-531.1499999999978,6,eod,-0.5311499999999979
2025-06-25 09:15:00+05:30,2025-06-25 13:15:00+05:30,25173.9,25246.05,3,168.44999999999345,4,momentum_failed,0.16844999999999347
2025-06-26 09:15:00+05:30,2025-06-26 15:15:00+05:30,25386.2,25530.4,3,384.6000000000022,6,eod,0.38460000000000216
2025-06-27 09:15:00+05:30,2025-06-27 15:15:00+05:30,25567.65,25632.45,3,146.39999999999782,6,eod,0.1463999999999978
2025-06-30 09:15:00+05:30,2025-06-30 12:15:00+05:30,25586.4,25505.7,3,-290.1000000000022,3,momentum_failed,-0.29010000000000213
2025-07-02 09:15:00+05:30,2025-07-02 10:15:00+05:30,25526.1,25477.2,3,-194.69999999999345,1,momentum_failed,-0.19469999999999343
2025-07-08 14:15:00+05:30,2025-07-08 15:15:00+05:30,25536.0,25523.1,3,-86.70000000000437,1,eod,-0.08670000000000436
2025-07-09 09:15:00+05:30,2025-07-09 15:15:00+05:30,25527.65,25464.65,3,-237.0,6,momentum_failed,-0.23700000000000002
2025-07-23 11:15:00+05:30,2025-07-23 15:15:00+05:30,25151.85,25209.2,3,124.05000000000655,4,eod,0.12405000000000656
2025-07-24 09:15:00+05:30,2025-07-24 11:15:00+05:30,25158.45,25049.45,3,-375.0,2,trend_reversed,-0.375
2025-07-31 13:15:00+05:30,2025-07-31 14:15:00+05:30,24924.7,24762.45,3,-534.75,1,trend_reversed,-0.53475
2025-08-12 09:15:00+05:30,2025-08-12 13:15:00+05:30,24662.35,24542.65,4,-526.7999999999884,4,ema_weakening,-0.5267999999999884
2025-08-13 13:15:00+05:30,2025-08-13 15:15:00+05:30,24658.15,24630.4,3,-131.25,2,eod,-0.13125
2025-08-14 09:15:00+05:30,2025-08-14 15:15:00+05:30,24629.4,24616.05,3,-88.05000000000655,6,momentum_failed,-0.08805000000000655
2025-08-18 09:15:00+05:30,2025-08-18 15:15:00+05:30,24988.1,24884.05,3,-360.1499999999978,6,eod,-0.3601499999999978
2025-08-19 09:15:00+05:30,2025-08-19 12:15:00+05:30,24921.9,24986.25,3,145.04999999999563,3,momentum_failed,0.14504999999999563
2025-08-19 14:15:00+05:30,2025-08-19 15:15:00+05:30,24975.6,24989.7,3,-5.699999999993452,1,eod,-0.005699999999993452
2025-08-20 09:15:00+05:30,2025-08-20 15:15:00+05:30,24995.5,25047.15,3,106.95000000000437,6,eod,0.10695000000000437
2025-08-21 09:15:00+05:30,2025-08-21 15:15:00+05:30,25115.15,25076.95,3,-162.60000000000218,6,eod,-0.1626000000000022
2025-08-25 12:15:00+05:30,2025-08-25 15:15:00+05:30,25000.85,24978.55,3,-114.89999999999782,3,eod,-0.11489999999999781
2025-09-02 10:15:00+05:30,2025-09-02 13:15:00+05:30,24731.75,24561.3,3,-559.3500000000022,3,trend_reversed,-0.5593500000000022
2025-09-04 09:15:00+05:30,2025-09-04 15:15:00+05:30,24835.7,24739.8,3,-335.70000000000437,6,eod,-0.33570000000000433
2025-09-08 09:15:00+05:30,2025-09-08 15:15:00+05:30,24800.45,24791.2,3,-75.75,6,eod,-0.07575
2025-09-09 09:15:00+05:30,2025-09-09 15:15:00+05:30,24824.1,24878.8,3,116.10000000000218,6,eod,0.11610000000000219
2025-09-10 09:15:00+05:30,2025-09-10 15:15:00+05:30,25005.45,24977.55,3,-131.70000000000437,6,eod,-0.13170000000000437
2025-09-11 09:15:00+05:30,2025-09-11 15:15:00+05:30,24964.5,25008.1,3,82.79999999999563,6,eod,0.08279999999999564
2025-09-12 09:15:00+05:30,2025-09-12 15:15:00+05:30,25074.7,25107.7,3,51.0,6,eod,0.051000000000000004
2025-09-15 09:15:00+05:30,2025-09-15 13:15:00+05:30,25084.75,25071.95,3,-86.39999999999782,4,momentum_failed,-0.08639999999999781
2025-09-16 09:15:00+05:30,2025-09-16 15:15:00+05:30,25165.05,25254.45,3,220.20000000000437,6,eod,0.22020000000000436
2025-09-17 09:15:00+05:30,2025-09-17 15:15:00+05:30,25314.15,25330.15,3,0.0,6,eod,0.0
2025-09-18 09:15:00+05:30,2025-09-18 15:15:00+05:30,25408.0,25420.75,3,-9.75,6,eod,-0.00975
2025-10-03 11:15:00+05:30,2025-10-03 15:15:00+05:30,24840.4,24895.0,3,115.79999999999563,4,eod,0.11579999999999564
2025-10-06 09:15:00+05:30,2025-10-06 15:15:00+05:30,24968.9,25072.55,3,262.94999999999345,6,eod,0.26294999999999347
2025-10-07 09:15:00+05:30,2025-10-07 15:15:00+05:30,25183.65,25112.8,3,-260.55000000000655,6,eod,-0.26055000000000655
2025-10-08 09:15:00+05:30,2025-10-08 10:15:00+05:30,25149.55,25042.65,3,-368.69999999999345,1,momentum_failed,-0.3686999999999935
2025-10-09 10:15:00+05:30,2025-10-09 12:15:00+05:30,25152.55,25132.95,3,-106.79999999999563,2,momentum_failed,-0.10679999999999563
2025-10-09 13:15:00+05:30,2025-10-09 15:15:00+05:30,25140.25,25170.3,3,42.14999999999782,2,eod,0.042149999999997814
2025-10-10 09:15:00+05:30,2025-10-10 15:15:00+05:30,25262.45,25278.2,3,-0.75,6,eod,-0.00075
2025-10-13 09:15:00+05:30,2025-10-13 12:15:00+05:30,25199.25,25210.0,3,-15.75,3,momentum_failed,-0.01575
2025-10-15 09:15:00+05:30,2025-10-15 15:15:00+05:30,25251.25,25327.75,3,181.5,6,eod,0.1815
2025-10-16 09:15:00+05:30,2025-10-16 15:15:00+05:30,25423.45,25566.3,3,380.54999999999563,6,eod,0.38054999999999567
2025-10-17 09:15:00+05:30,2025-10-17 15:15:00+05:30,25670.15,25704.7,3,55.64999999999782,6,eod,0.05564999999999781
2025-10-20 09:15:00+05:30,2025-10-20 15:15:00+05:30,25856.55,25850.7,3,-65.54999999999563,6,eod,-0.06554999999999564
2025-10-21 13:15:00+05:30,2025-10-23 15:15:00+05:30,25896.9,25870.3,3,-127.80000000000655,8,max_hold,-0.12780000000000655
2025-10-27 10:15:00+05:30,2025-10-27 15:15:00+05:30,25976.3,25974.0,3,-54.89999999999782,5,eod,-0.05489999999999782
2025-10-28 09:15:00+05:30,2025-10-28 12:15:00+05:30,25905.25,25926.35,3,15.299999999995634,3,momentum_failed,0.015299999999995633
2025-10-29 09:15:00+05:30,2025-10-29 15:15:00+05:30,25997.7,26068.3,3,163.79999999999563,6,eod,0.16379999999999564
2025-10-30 09:15:00+05:30,2025-10-30 11:15:00+05:30,25959.45,25912.25,3,-189.60000000000218,2,momentum_failed,-0.18960000000000218
2025-11-11 14:15:00+05:30,2025-11-11 15:15:00+05:30,25694.9,25705.55,3,-16.05000000000655,1,eod,-0.01605000000000655
2025-11-12 09:15:00+05:30,2025-11-12 15:15:00+05:30,25839.85,25874.0,3,54.450000000004366,6,eod,0.05445000000000436
2025-11-13 09:15:00+05:30,2025-11-13 14:15:00+05:30,25898.5,25878.55,3,-107.85000000000218,5,momentum_failed,-0.1078500000000022
2025-11-17 09:15:00+05:30,2025-11-17 15:15:00+05:30,25949.3,26014.3,3,147.0,6,eod,0.147
2025-11-18 09:15:00+05:30,2025-11-18 14:15:00+05:30,25895.85,25897.75,3,-42.299999999995634,5,momentum_failed,-0.04229999999999563
2025-11-19 12:15:00+05:30,2025-11-19 15:15:00+05:30,26027.9,26052.7,3,26.399999999997817,3,eod,0.026399999999997818
2025-11-20 09:15:00+05:30,2025-11-20 15:15:00+05:30,26099.65,26197.4,3,245.25,6,eod,0.24524999999999997
2025-11-21 09:15:00+05:30,2025-11-21 14:15:00+05:30,26087.4,26069.35,3,-102.15000000000873,5,momentum_failed,-0.10215000000000872
2025-11-26 10:15:00+05:30,2025-11-26 15:15:00+05:30,26116.75,26203.5,3,212.25,5,eod,0.21225
2025-11-27 09:15:00+05:30,2025-11-27 15:15:00+05:30,26282.7,26219.85,3,-236.55000000000655,6,eod,-0.23655000000000653
2025-11-28 09:15:00+05:30,2025-11-28 12:15:00+05:30,26240.4,26217.9,3,-115.5,3,momentum_failed,-0.1155
2025-12-01 09:15:00+05:30,2025-12-01 11:15:00+05:30,26284.95,26175.65,3,-375.8999999999978,2,momentum_failed,-0.3758999999999978
2025-12-05 10:15:00+05:30,2025-12-05 15:15:00+05:30,26143.5,26176.65,3,51.450000000004366,5,eod,0.05145000000000437
2025-12-08 09:15:00+05:30,2025-12-08 11:15:00+05:30,26096.5,26035.3,3,-231.60000000000218,2,trend_reversed,-0.2316000000000022
2025-12-12 10:15:00+05:30,2025-12-12 15:15:00+05:30,25990.8,26043.0,3,108.60000000000218,5,eod,0.10860000000000218
2025-12-15 09:15:00+05:30,2025-12-15 15:15:00+05:30,25961.35,26014.0,3,109.95000000000437,6,momentum_failed,0.10995000000000436
2025-12-19 10:15:00+05:30,2025-12-19 15:15:00+05:30,25954.75,25961.4,3,-28.049999999995634,5,eod,-0.028049999999995634
2025-12-22 09:15:00+05:30,2025-12-22 15:15:00+05:30,26129.25,26162.75,3,52.5,6,eod,0.0525
2025-12-23 09:15:00+05:30,2025-12-23 15:15:00+05:30,26184.65,26165.95,3,-104.10000000000218,6,eod,-0.10410000000000218
2025-12-24 09:15:00+05:30,2025-12-24 12:15:00+05:30,26227.2,26181.05,3,-186.45000000000437,3,momentum_failed,-0.18645000000000436
